Feature Importance	Metabolite ID	Structure rank 1	Databases
0.02	12529	L-Tryptophan	HMDB=HMDB0000929;HMDB0013609;HMDB0030396,KNApSAcK=C00001396,ChEBI=CHEBI:16296;CHEBI:16828;CHEBI:27897;CHEBI:32702;CHEBI:32704;CHEBI:32716;CHEBI:32717;CHEBI:32727;CHEBI:32728;CHEBI:57719;CHEBI:57912;CHEBI:64554,DrugBank=DB00150,SMPDB=PW_C000741,YMDB=YMDB00126;YMDB00998,T3DB=T3D4369,FooDB=FDB002250;FDB002251;FDB029595,NANPDB=NANPDB_3851,STOFF=STOFF_8693,BMDB=BMDB00929,Urine=HMDB0000929;HMDB0030396,Saliva=HMDB0000929,Feces=HMDB0000929,ECMDB=ECMDB00929,CSF=HMDB0000929,Serum=HMDB0000929;HMDB0013609,PubChem=6923516;9060;6305;1148,PlantCyc=D-TRYPTOPHAN;TRP,UNPD=UNPD149555;UNPD173611,BLEXP=BLEXPDB00000001148
0.02	12914	Coumarin	HMDB=HMDB0001218,KNApSAcK=C00002460,ChEBI=CHEBI:28794,DrugBank=DB04665,T3DB=T3D4875,FooDB=FDB011938;FDB030742,NANPDB=NANPDB_1741;NANPDB_4520,STOFF=STOFF_615,Saliva=HMDB0001218,PubChem=323,PlantCyc=COUMARIN,UNPD=UNPD21132,BLEXP=BLEXPDB00000000323
0.02	12925	4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol	HMDB=HMDB0041809,ChEBI=CHEBI:82569,T3DB=T3D3984,Urine=HMDB0041809,Serum=HMDB0041809,PubChem=104856,BLEXP=BLEXPDB00000104856
0.02	15199	Panaxynol	HMDB=HMDB0039588,KNApSAcK=C00001284,ChEBI=CHEBI:66722;CHEBI:81095,FooDB=FDB000702;FDB019213,LipidMAPS=LMFA05000019;LMFA05000530;LMFA05000689,UNPD=UNPD107100;UNPD145770;UNPD208472;UNPD80582;UNPD220371;UNPD224379,BLEXP=BLEXPDB00000003322
0.02	15996	oleonitrile	ChEBI=CHEBI:133637,STOFF=STOFF_5484
0.02	16934	Methohexital	HMDB=HMDB0014617,ChEBI=CHEBI:102216;CHEBI:60792,DrugBank=DB00474,T3DB=T3D2803,STOFF=STOFF_1001,Urine=HMDB0014617,Serum=HMDB0014617,BLEXP=BLEXPDB00000009034
0.02	20857	PE(18:4(6Z,9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	HMDB=HMDB0009210,FooDB=FDB026400,BMDB=BMDB09210,LipidMAPS=LMGP02010768
0.02	23034	LysoPC(15:0)	HMDB=HMDB0010381,ChEBI=CHEBI:131924,FooDB=FDB027532,BMDB=BMDB10381,LipidMAPS=LMGP01050016,Serum=HMDB0010381,UNPD=UNPD24711,BLEXP=BLEXPDB00024779458
0.02	23308	2-amino-5,6,7,8-tetrahydro-[1]benzothiolo[2,3-d][1,3]thiazin-4-one	ChEBI=CHEBI:108067
0.02	24167	LysoPC(18:1(9Z))	HMDB=HMDB0002815,ChEBI=CHEBI:28610;CHEBI:72589,YMDB=YMDB01190;YMDB01810,FooDB=FDB005287;FDB023066,BMDB=BMDB02815,LipidMAPS=LMGP01050030;LMGP01050032;LMGP01050114,Feces=HMDB0002815,Serum=HMDB0002815,UNPD=UNPD65944,BLEXP=BLEXPDB00016081932;BLEXPDB00005313986;BLEXPDB00005313988
